y_norm,u_x,u_y
0.462121,-0.170197,0.0570457
0.464015,-0.167856,0.0572223
0.465909,-0.165516,0.0573972
0.467803,-0.163179,0.0575705
0.469697,-0.160844,0.0577424
0.471591,-0.158512,0.057913
0.473485,-0.156181,0.0580823
0.475379,-0.153854,0.0582505
0.477273,-0.151529,0.0584176
0.479167,-0.149206,0.0585838
0.481061,-0.146887,0.0587491
0.482955,-0.14457,0.0589137
0.484848,-0.142256,0.0590776
0.486742,-0.139945,0.0592409
0.488636,-0.137637,0.0594037
0.49053,-0.135332,0.0595661
0.492424,-0.13303,0.0597281
0.494318,-0.130731,0.0598898
0.496212,-0.128435,0.0600514
0.498106,-0.126142,0.0602128
0.5,-0.123852,0.0603741
0.501894,-0.121565,0.0605355
0.503788,-0.11928,0.0606969
0.505682,-0.116999,0.0608584
0.507576,-0.11472,0.0610201
0.50947,-0.112444,0.061182
0.511364,-0.110171,0.0613442
0.513258,-0.1079,0.0615068
0.515152,-0.105631,0.0616697
0.517045,-0.103366,0.061833
0.518939,-0.101102,0.0619968
0.520833,-0.0988407,0.0621611
0.522727,-0.0965816,0.0623259
0.524621,-0.0943245,0.0624913
0.526515,-0.0920694,0.0626572
0.528409,-0.0898162,0.0628238
0.530303,-0.0875648,0.062991
0.532197,-0.085315,0.0631589
0.534091,-0.0830668,0.0633274
0.535985,-0.0808201,0.0634967
0.537879,-0.0785748,0.0636667
0.539773,-0.0763307,0.0638374
0.541667,-0.0740877,0.0640088
0.543561,-0.0718458,0.064181
0.545455,-0.0696048,0.0643539
0.547348,-0.0673646,0.0645276
0.549242,-0.0651251,0.064702
0.551136,-0.0628863,0.0648772
0.55303,-0.0606479,0.0650532
0.554924,-0.0584099,0.0652299
0.556818,-0.0561723,0.0654073
0.558712,-0.0539347,0.0655854
0.560606,-0.0516973,0.0657643
0.5625,-0.0494599,0.0659439
0.564394,-0.0472223,0.0661242
0.566288,-0.0449845,0.0663051
0.568182,-0.0427464,0.0664867
0.570076,-0.0405079,0.0666689
0.57197,-0.0382688,0.0668518
0.573864,-0.0360292,0.0670352
0.575758,-0.0337889,0.0672193
0.577652,-0.0315478,0.0674038
0.579545,-0.0293059,0.0675889
0.581439,-0.0270631,0.0677744
0.583333,-0.0248193,0.0679604
0.585227,-0.0225744,0.0681468
0.587121,-0.0203283,0.0683336
0.589015,-0.018081,0.0685208
0.590909,-0.0158325,0.0687082
0.592803,-0.0135826,0.068896
0.594697,-0.0113313,0.069084
0.596591,-0.00907857,0.0692721
0.598485,-0.00682433,0.0694605
0.600379,-0.00456854,0.0696489
0.602273,-0.00231115,0.0698374
0.604167,-5.21194e-05,0.070026
0.606061,0.00220858,0.0702145
0.607955,0.004471,0.0704029
0.609848,0.00673515,0.0705912
0.611742,0.00900107,0.0707794
0.613636,0.0112688,0.0709673
0.61553,0.0135383,0.071155
0.617424,0.0158096,0.0713423
0.619318,0.0180828,0.0715293
0.621212,0.0203578,0.0717159
0.623106,0.0226347,0.0719019
0.625,0.0249134,0.0720874
0.626894,0.027194,0.0722724
0.628788,0.0294764,0.0724566
0.630682,0.0317606,0.0726402
0.632576,0.0340467,0.0728229
0.63447,0.0363345,0.0730049
0.636364,0.0386241,0.0731859
0.638258,0.0409154,0.073366
0.640152,0.0432085,0.0735451
0.642045,0.0455032,0.0737231
0.643939,0.0477996,0.0739
0.645833,0.0500976,0.0740756
0.647727,0.0523971,0.07425
0.649621,0.0546981,0.074423
0.651515,0.0570005,0.0745946
0.653409,0.0593044,0.0747648
0.655303,0.0616095,0.0749333
0.657197,0.0639159,0.0751003
0.659091,0.0662236,0.0752656
0.660985,0.0685323,0.0754292
0.662879,0.070842,0.0755909
0.664773,0.0731527,0.0757507
0.666667,0.0754643,0.0759086
0.668561,0.0777766,0.0760644
0.670455,0.0800896,0.0762182
0.672348,0.0824032,0.0763697
0.674242,0.0847173,0.076519
0.676136,0.0870318,0.0766659
0.67803,0.0893465,0.0768105
0.679924,0.0916614,0.0769525
0.681818,0.0939764,0.077092
0.683712,0.0962913,0.0772289
0.685606,0.0986059,0.0773631
0.6875,0.10092,0.0774944
0.689394,0.103234,0.0776229
0.691288,0.105547,0.0777485
0.693182,0.10786,0.077871
0.695076,0.110172,0.0779905
0.69697,0.112482,0.0781067
0.698864,0.114792,0.0782197
0.700758,0.1171,0.0783293
0.702652,0.119407,0.0784356
0.704545,0.121712,0.0785383
0.706439,0.124015,0.0786375
0.708333,0.126316,0.0787329
0.710227,0.128616,0.0788247
0.712121,0.130912,0.0789126
0.714015,0.133207,0.0789966
0.715909,0.135499,0.0790766
0.717803,0.137788,0.0791525
0.719697,0.140074,0.0792243
0.721591,0.142356,0.0792919
0.723485,0.144636,0.0793551
0.725379,0.146912,0.0794139
0.727273,0.149184,0.0794683
0.729167,0.151452,0.079518
0.731061,0.153716,0.0795632
0.732955,0.155975,0.0796035
0.734848,0.15823,0.0796391
0.736742,0.160481,0.0796698
0.738636,0.162726,0.0796954
0.74053,0.164966,0.079716
0.742424,0.167201,0.0797315
0.744318,0.16943,0.0797417
0.746212,0.171654,0.0797466
0.748106,0.173871,0.0797461
0.75,0.176082,0.0797401
0.751894,0.178287,0.0797285
0.753788,0.180485,0.0797113
0.755682,0.182676,0.0796884
0.757576,0.18486,0.0796596
0.75947,0.187037,0.0796249
0.761364,0.189207,0.0795842
0.763258,0.191368,0.0795375
0.765152,0.193522,0.0794846
0.767045,0.195668,0.0794254
0.768939,0.197805,0.07936
0.770833,0.199933,0.0792881
0.772727,0.202053,0.0792097
0.774621,0.204164,0.0791248
0.776515,0.206266,0.0790331
0.778409,0.208358,0.0789348
0.780303,0.210441,0.0788296
0.782197,0.212514,0.0787174
0.784091,0.214578,0.0785983
0.785985,0.216631,0.0784721
0.787879,0.218674,0.0783386
0.789773,0.220706,0.0781979
0.791667,0.222728,0.0780498
0.793561,0.22474,0.0778942
0.795455,0.22674,0.0777311
0.797348,0.22873,0.0775603
0.799242,0.230709,0.0773818
0.801136,0.232677,0.0771953
0.80303,0.234633,0.077001
0.804924,0.236579,0.0767985
0.806818,0.238513,0.0765879
0.808712,0.240437,0.0763689
0.810606,0.242349,0.0761415
0.8125,0.24425,0.0759056
0.814394,0.24614,0.0756611
0.816288,0.24802,0.0754077
0.818182,0.249889,0.0751454
0.820076,0.251748,0.0748741
0.82197,0.253597,0.0745935
0.823864,0.255436,0.0743035
0.825758,0.257266,0.074004
0.827652,0.259087,0.0736948
0.829545,0.2609,0.0733758
0.831439,0.262705,0.0730466
0.833333,0.264502,0.0727072
0.835227,0.266294,0.0723574
0.837121,0.26808,0.0719969
0.839015,0.269862,0.0716255
0.840909,0.271641,0.0712429
0.842803,0.273417,0.0708491
0.844697,0.275193,0.0704435
0.846591,0.276969,0.0700261
0.848485,0.278748,0.0695965
0.850379,0.28053,0.0691545
0.852273,0.282319,0.0686997
0.854167,0.284116,0.0682318
0.856061,0.285923,0.0677505
0.857955,0.287744,0.0672555
0.859848,0.28958,0.0667463
0.861742,0.291435,0.0662226
0.863636,0.293312,0.0656841
0.86553,0.295215,0.0651304
0.867424,0.297148,0.064561
0.869318,0.299114,0.0639755
0.871212,0.301119,0.0633735
0.873106,0.303166,0.0627546
0.875,0.305261,0.0621184
0.876894,0.307409,0.0614643
0.878788,0.309617,0.0607921
0.880682,0.31189,0.0601011
0.882576,0.314236,0.059391
0.88447,0.316661,0.0586613
0.886364,0.319172,0.0579117
0.888258,0.321778,0.0571416
0.890152,0.324487,0.0563507
0.892045,0.327309,0.0555386
0.893939,0.330251,0.0547049
0.895833,0.333325,0.0538493
0.897727,0.33654,0.0529714
0.899621,0.339907,0.0520711
