x_norm,u_x,u_y
0.469697,-0.121372,0.0987863
0.471591,-0.121524,0.0963849
0.473485,-0.121675,0.0939829
0.475379,-0.121827,0.0915805
0.477273,-0.12198,0.0891778
0.479167,-0.122132,0.086775
0.481061,-0.122285,0.0843723
0.482955,-0.122439,0.0819698
0.484848,-0.122593,0.0795675
0.486742,-0.122747,0.0771657
0.488636,-0.122903,0.0747644
0.49053,-0.123059,0.0723638
0.492424,-0.123216,0.0699639
0.494318,-0.123373,0.067565
0.496212,-0.123532,0.0651669
0.498106,-0.123691,0.06277
0.5,-0.123852,0.0603741
0.501894,-0.124014,0.0579795
0.503788,-0.124176,0.0555861
0.505682,-0.12434,0.0531941
0.507576,-0.124506,0.0508035
0.50947,-0.124672,0.0484143
0.511364,-0.12484,0.0460267
0.513258,-0.12501,0.0436406
0.515152,-0.12518,0.0412561
0.517045,-0.125353,0.0388733
0.518939,-0.125527,0.0364921
0.520833,-0.125702,0.0341126
0.522727,-0.12588,0.0317348
0.524621,-0.126059,0.0293587
0.526515,-0.12624,0.0269844
0.528409,-0.126422,0.0246118
0.530303,-0.126607,0.0222409
0.532197,-0.126793,0.0198718
0.534091,-0.126982,0.0175045
0.535985,-0.127172,0.0151389
0.537879,-0.127365,0.012775
0.539773,-0.12756,0.0104128
0.541667,-0.127757,0.0080523
0.543561,-0.127956,0.00569346
0.545455,-0.128158,0.00333626
0.547348,-0.128362,0.00098065
0.549242,-0.128568,-0.00137339
0.551136,-0.128777,-0.00372591
0.55303,-0.128988,-0.00607695
0.554924,-0.129202,-0.00842655
0.556818,-0.129418,-0.0107748
0.558712,-0.129637,-0.0131217
0.560606,-0.129859,-0.0154673
0.5625,-0.130084,-0.0178117
0.564394,-0.130312,-0.020155
0.566288,-0.130542,-0.0224972
0.568182,-0.130775,-0.0248385
0.570076,-0.131012,-0.0271788
0.57197,-0.131251,-0.0295182
0.573864,-0.131494,-0.031857
0.575758,-0.13174,-0.034195
0.577652,-0.131989,-0.0365325
0.579545,-0.132242,-0.0388696
0.581439,-0.132498,-0.0412062
0.583333,-0.132757,-0.0435426
0.585227,-0.13302,-0.0458789
0.587121,-0.133287,-0.0482151
0.589015,-0.133557,-0.0505514
0.590909,-0.133831,-0.052888
0.592803,-0.134109,-0.0552248
0.594697,-0.134391,-0.0575622
0.596591,-0.134677,-0.0599001
0.598485,-0.134967,-0.0622389
0.600379,-0.135261,-0.0645785
0.602273,-0.13556,-0.0669192
0.604167,-0.135862,-0.0692611
0.606061,-0.13617,-0.0716044
0.607955,-0.136481,-0.0739493
0.609848,-0.136798,-0.0762959
0.611742,-0.137119,-0.0786444
0.613636,-0.137445,-0.0809951
0.61553,-0.137776,-0.083348
0.617424,-0.138112,-0.0857035
0.619318,-0.138452,-0.0880617
0.621212,-0.138799,-0.0904228
0.623106,-0.13915,-0.092787
0.625,-0.139507,-0.0951547
0.626894,-0.139869,-0.097526
0.628788,-0.140237,-0.0999011
0.630682,-0.140611,-0.10228
0.632576,-0.140991,-0.104664
0.63447,-0.141376,-0.107052
0.636364,-0.141768,-0.109445
0.638258,-0.142165,-0.111844
0.640152,-0.14257,-0.114248
0.642045,-0.14298,-0.116657
0.643939,-0.143397,-0.119073
0.645833,-0.143821,-0.121495
0.647727,-0.144251,-0.123924
0.649621,-0.144689,-0.12636
0.651515,-0.145133,-0.128803
0.653409,-0.145584,-0.131254
0.655303,-0.146043,-0.133714
0.657197,-0.146509,-0.136181
0.659091,-0.146982,-0.138658
0.660985,-0.147463,-0.141143
0.662879,-0.147952,-0.143638
0.664773,-0.148448,-0.146143
0.666667,-0.148953,-0.148659
0.668561,-0.149465,-0.151185
0.670455,-0.149985,-0.153723
0.672348,-0.150514,-0.156272
0.674242,-0.15105,-0.158833
0.676136,-0.151596,-0.161407
0.67803,-0.152149,-0.163994
0.679924,-0.152711,-0.166593
0.681818,-0.153282,-0.169207
0.683712,-0.153861,-0.171835
0.685606,-0.154449,-0.174478
0.6875,-0.155046,-0.177136
0.689394,-0.155651,-0.17981
0.691288,-0.156265,-0.1825
0.693182,-0.156888,-0.185206
0.695076,-0.15752,-0.187929
0.69697,-0.158161,-0.19067
0.698864,-0.15881,-0.193429
0.700758,-0.159468,-0.196206
0.702652,-0.160135,-0.199002
0.704545,-0.160811,-0.201818
0.706439,-0.161495,-0.204653
0.708333,-0.162188,-0.207508
0.710227,-0.162889,-0.210384
0.712121,-0.163599,-0.213281
0.714015,-0.164316,-0.216199
0.715909,-0.165042,-0.219139
0.717803,-0.165775,-0.222101
0.719697,-0.166516,-0.225086
0.721591,-0.167264,-0.228093
0.723485,-0.168019,-0.231123
0.725379,-0.168781,-0.234177
0.727273,-0.169549,-0.237254
0.729167,-0.170324,-0.240355
0.731061,-0.171104,-0.24348
0.732955,-0.171889,-0.246628
0.734848,-0.17268,-0.249801
0.736742,-0.173475,-0.252998
0.738636,-0.174274,-0.256219
0.74053,-0.175076,-0.259464
0.742424,-0.175881,-0.262733
0.744318,-0.176688,-0.266026
0.746212,-0.177496,-0.269342
0.748106,-0.178306,-0.272682
0.75,-0.179116,-0.276044
0.751894,-0.179924,-0.279429
0.753788,-0.180732,-0.282836
0.755682,-0.181537,-0.286264
0.757576,-0.182338,-0.289713
0.75947,-0.183136,-0.293182
0.761364,-0.183928,-0.29667
0.763258,-0.184714,-0.300176
0.765152,-0.185492,-0.303699
0.767045,-0.186262,-0.307238
0.768939,-0.187022,-0.310791
0.770833,-0.18777,-0.314358
0.772727,-0.188507,-0.317936
0.774621,-0.18923,-0.321525
0.776515,-0.189937,-0.325121
0.778409,-0.190628,-0.328724
0.780303,-0.191301,-0.332332
0.782197,-0.191954,-0.335942
0.784091,-0.192586,-0.339552
0.785985,-0.193195,-0.343159
0.787879,-0.19378,-0.346761
0.789773,-0.194338,-0.350355
0.791667,-0.194867,-0.353939
0.793561,-0.195367,-0.357509
0.795455,-0.195835,-0.361062
0.797348,-0.19627,-0.364594
0.799242,-0.196668,-0.368103
0.801136,-0.197029,-0.371584
0.80303,-0.19735,-0.375033
0.804924,-0.19763,-0.378447
0.806818,-0.197866,-0.381822
0.808712,-0.198056,-0.385152
0.810606,-0.198198,-0.388434
0.8125,-0.198291,-0.391663
0.814394,-0.198331,-0.394834
0.816288,-0.198317,-0.397943
0.818182,-0.198247,-0.400983
